question,1,2,3,4,answer
"The acquisition was completed for $ million, which indicates just how ___ the company's value had dropped.",sharper,sharpness,sharpest,sharply,sharply
"This is a more ___ report of budget authority and outlays for preceding, current, and upcoming fiscal years.",retained,afforded,detailed,attached,detailed
"A successful candidate must be ___ trainable in a fast-paced work environment, with exceptional communication and computer skills.",highly,early,after,many,highly
"The manual ___ covers multiple topics including safety and loss control, vehicle policy, and work hours.",ever,anymore,briefly,extremely,briefly
"It takes one month to fix these minor problems, so unfortunately there will be a one-month ___ in the transfer of fuel.",out,long,late,delay,delay
The lease agreement says the tenant of this unit is required to ___ renter's insurance.,declare,achieve,promote,obtain,obtain
"Wholesale buyers purchase merchandise___ from manufacturers and resell it to retail firms, commercial establishments, and other institutions.",directing,directs,directly,directed,directly
The Fresh Twister energy drink is made with fresh lemon juice and red wine and tends to be a bestseller ___ the ladies.,among,plus,throughout,upon,among
Guests will be able to meet Taylor Swift as she ___ to perform a free show for her fans in Central Park.,prepare,prepares,prepared,preparing,prepares
The information below is being provided in response to ___ requests for teleconference referrals.,frequent,frequented,frequenting,frequently,frequent
Mr. Kwon attributed his ___ strong performance to the company's sound risk management and stable management team.,impulsively,approximately,consistently,readily,consistently
There is a growing ___ of residents who oppose construction of a shopping center on Kingston and Flag avenues.,town,anger,list,rate,list
"To reach Puritan House, turn right and walk ___ the building with the white columns.",during,past,over,down,past
"During his 10 years with the firm, Mr. Martin ___ many financial institutions in Europe and Asia on strategy and mergers, acquisitions and alliances.",was advised,advises,advised,has advised,has advised
"Funded by Hurricane Katrina money, the research ___ houses one million dollars worthy of lab equipment.",discussion,facility,agreement,publication,facility
It is ___ to attract attention by pricing products low enough to capture the interest of customers.,necessary,necessarily,necessitate,necessities,necessary
Practice proper sanitation by ___ removing all infected plants as soon as possible.,closely,vaguely,carefully,possibly,carefully
Your generous ___ to the Global Conscience Initiative helps us further our mission to build a peace culture beyond borders.,donor,donates,donation,donated,donation
"___ actively seeking a specific web design, it is important that you are crystal clear on the goal of your website.",Before,Yet,So that,Just as,Before
A high sense of ___ often means individuals go well above the normal standard in various business situations.,professionalism,professional,profession,professionally,professionalism
Each passenger is usually given a 20Kg allowance and any baggage exceeding the designated weight will be charged an ___ fee.,interested,unprepared,exported,additional,additional
"Whether you ___ many discussions or are new to leading discussions, we trust that this guide will be helpful.",has been led,have been led,has led,have led,have led
"We have beautifully furnished apartments that are fully ___ with the latest appliances, and the electric bill is included in the rent.",precise,equipped,assorted,estimated,equipped
